Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,85.285,84.157,86.530,0.827
2000,86.754,86.145,87.171,0.287
4000,86.857,86.530,87.235,0.259
6000,86.812,86.402,87.300,0.255
8000,86.851,86.273,87.813,0.410
10000,86.985,86.402,87.492,0.315
