dataset,D_total,E,num_runs,acc_baseline(%),acc_feature,acc_feature_std,acc_ensemble,acc_ensemble_std,acc_e0_mean,acc_e1_mean,acc_e2_mean
isolet,6000,3,100,86.386,0.8859332905708789,0.0044189876173233,0.9028415651058372,0.0047087360878299,0.841982039769083,0.8649903784477231,0.8510840282232204
cardio,6000,3,100,75.507,0.7661016949152541,0.0139053973197549,0.6608097928436911,0.0374152705293058,0.5642749529190205,0.5645762711864409,0.5988512241054612
emg,6000,3,100,67.932,0.6573511904761905,0.0266020655377174,0.7101488095238095,0.0195655721671773,0.6502380952380952,0.6525297619047619,0.665327380952381
har,6000,3,100,85.359,0.8422090261282661,0.0072572593601139,0.8668171021377673,0.0085445349940929,0.8002544960977267,0.8234916864608075,0.8330403800475058
mnist,6000,3,100,80.749,0.795272,0.0026306303427125,0.810514,0.0031971556108516,0.7790610000000001,0.7905639999999995,0.8046820000000002
