Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,76.397,75.590,77.300,0.291
2000,76.527,76.067,77.057,0.191
4000,76.605,76.133,77.038,0.169
6000,76.625,76.262,77.062,0.136
8000,76.606,76.410,76.943,0.119
10000,76.628,76.376,76.938,0.100
