Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,22.723,12.114,31.824,6.333
2000,32.447,27.143,38.124,4.150
4000,43.420,36.010,48.324,3.697
6000,50.352,44.881,54.733,2.861
8000,54.106,51.033,57.433,2.122
10000,56.899,54.810,59.548,1.763
