Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,18.475,13.062,25.729,3.977
2000,32.877,28.314,39.110,3.101
4000,47.415,43.238,49.448,1.722
6000,55.654,52.424,58.095,1.685
8000,58.425,55.795,60.238,1.517
10000,61.217,59.548,63.143,1.156
