Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,68.158,61.905,74.107,2.797
2000,68.054,63.095,73.512,2.490
4000,67.762,63.690,73.214,2.013
6000,67.932,63.988,72.024,1.554
8000,67.845,64.583,71.726,1.523
10000,67.810,64.583,72.917,1.444
