Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,70.685,67.857,74.405,2.374
2000,70.804,68.155,74.405,1.732
4000,69.286,67.560,71.429,1.490
6000,68.810,67.560,71.726,1.164
8000,69.435,68.155,71.131,0.831
10000,69.107,67.560,70.238,0.839
