Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,84.804,82.553,86.145,1.205
2000,86.216,85.375,87.171,0.668
4000,86.555,85.696,87.428,0.606
6000,86.703,85.888,87.300,0.537
8000,86.998,86.530,87.813,0.454
10000,86.857,86.273,87.428,0.368
