Experiment,Baseline_Acc,Ensemble_Acc,Seeds
1,0.86337395766517,0.8531109685695959,"[45426, 1527, 11702]"
2,0.8678640153944837,0.8524695317511225,"[58966, 92105, 54654]"
3,0.8672225785760103,0.86337395766517,"[45849, 77639, 27736]"
4,0.8537524053880693,0.8627325208466966,"[36593, 98119, 86417]"
5,0.8537524053880693,0.8614496472097498,"[51794, 40857, 8634]"
6,0.8678640153944837,0.8620910840282232,"[34145, 83460, 55017]"
7,0.8588838999358563,0.8531109685695959,"[82331, 18284, 56303]"
8,0.8691468890314304,0.8620910840282232,"[82532, 35233, 77653]"
9,0.8755612572161642,0.8640153944836434,"[67556, 31850, 46351]"
10,0.8576010262989096,0.8537524053880693,"[90782, 52345, 19784]"
11,0.8697883258499037,0.8691468890314304,"[15969, 61388, 90064]"
12,0.86337395766517,0.8537524053880693,"[29912, 11073, 6365]"
13,0.8569595894804362,0.849903784477229,"[78490, 7065, 91725]"
14,0.8652982681205901,0.8614496472097498,"[16354, 34848, 56119]"
15,0.8608082103912764,0.8505452212957024,"[20493, 99742, 28151]"
16,0.8652982681205901,0.8524695317511225,"[33058, 74999, 10873]"
17,0.8588838999358563,0.86337395766517,"[10258, 40891, 20934]"
18,0.8563181526619628,0.8652982681205901,"[25804, 57900, 89991]"
19,0.8646568313021168,0.8588838999358563,"[19336, 45814, 45114]"
20,0.8697883258499037,0.8704297626683771,"[68927, 27241, 88538]"
21,0.8576010262989096,0.8531109685695959,"[92219, 76683, 87203]"
22,0.8646568313021168,0.8620910840282232,"[93657, 77408, 25254]"
23,0.8614496472097498,0.868505452212957,"[83623, 50197, 52645]"
24,0.86337395766517,0.8646568313021168,"[17550, 66694, 28380]"
25,0.868505452212957,0.8556767158434894,"[52214, 18118, 40081]"
26,0.8595253367543297,0.8614496472097498,"[73248, 71092, 23943]"
27,0.8665811417575369,0.8595253367543297,"[93329, 40403, 80047]"
28,0.8652982681205901,0.8492623476587556,"[78688, 46305, 70561]"
29,0.8640153944836434,0.8595253367543297,"[63255, 22765, 89974]"
30,0.8627325208466966,0.8505452212957024,"[81065, 98386, 16352]"
