Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,86.428,85.545,87.139,0.355
2000,86.494,85.850,87.139,0.281
4000,86.542,85.952,87.072,0.211
6000,86.577,85.884,86.970,0.184
8000,86.605,86.325,86.970,0.151
10000,86.576,86.257,86.970,0.157
