Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,78.858,73.023,83.203,1.964
2000,82.584,78.521,85.511,1.327
4000,84.836,82.117,86.766,0.969
6000,85.359,83.712,87.004,0.761
8000,85.717,83.882,87.818,0.715
10000,85.773,84.357,87.004,0.662
