Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,87.116,86.081,88.262,0.396
2000,87.217,86.402,88.326,0.382
4000,87.350,86.594,88.069,0.265
6000,87.393,86.722,88.005,0.246
8000,87.381,86.851,88.133,0.262
10000,87.411,86.979,87.813,0.200
