Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,81.752,79.859,83.708,0.880
2000,84.502,82.425,86.337,0.778
4000,85.945,84.477,87.235,0.615
6000,86.386,84.798,88.647,0.588
8000,86.640,85.504,87.684,0.485
10000,86.820,85.760,88.390,0.428
