Weight_w,Average_Accuracy,Std_Dev
0.3333333333333333,0.8637908915971778,0.005047724677847923
0.5,0.8631494547787042,0.00560762175157231
0.51,0.8632135984605517,0.005689927838104606
0.52,0.8630211674150094,0.005873526653897035
0.53,0.8629249518922384,0.005610647521191701
0.54,0.8627004490057729,0.005753209130643679
0.55,0.8627325208466965,0.005595594223877964
0.56,0.8627645926876202,0.005655839821129143
0.5700000000000001,0.862796664528544,0.005434828716746696
0.5800000000000001,0.8627645926876202,0.005345424416068011
0.5900000000000001,0.8626683771648492,0.005339359530893326
0.6000000000000001,0.8624438742783835,0.00541045397489477
0.6100000000000001,0.8625400898011545,0.0054883157410217315
0.6200000000000001,0.8625080179602309,0.005325374425146797
0.6300000000000001,0.8625080179602309,0.005421089904091321
0.6400000000000001,0.8623797305965363,0.005626666075803273
0.6500000000000001,0.8623155869146888,0.005596605163050088
0.6600000000000001,0.8623476587556125,0.005706264622523202
0.6700000000000002,0.8625080179602309,0.005858797662776876
0.6800000000000002,0.8625080179602309,0.005865816080630079
0.6900000000000002,0.8625400898011545,0.0057697232907883075
0.7000000000000002,0.86241180243746,0.005820840331848928
0.7100000000000002,0.8623797305965363,0.005763926409883263
0.7200000000000002,0.8622835150737652,0.0056726374495126375
0.7300000000000002,0.8622835150737652,0.005525671983138364
0.7400000000000002,0.8623155869146888,0.005581882556471587
0.7500000000000002,0.862187299550994,0.005507679229045142
0.7600000000000002,0.8621552277100706,0.005491313592257729
0.7700000000000002,0.862123155869147,0.005497210834256691
0.7800000000000002,0.8621552277100706,0.005617243543022819
0.7900000000000003,0.8620269403463757,0.0055360865599289885
0.8000000000000003,0.8620590121872995,0.005619348973873836
0.8100000000000003,0.8620910840282232,0.005726417991190679
0.8200000000000003,0.8620910840282232,0.005657749088184726
0.8300000000000003,0.8618345093008338,0.005699049719369135
0.8400000000000003,0.8619307248236048,0.005653657012124507
0.8500000000000003,0.8619307248236048,0.005686311166620106
0.8600000000000003,0.8618345093008337,0.005727854804158006
0.8700000000000003,0.8619307248236048,0.005718778869348982
0.8800000000000003,0.8618665811417576,0.005658748923360862
0.8900000000000003,0.8617382937780629,0.00568848144544343
0.9000000000000004,0.8616100064143681,0.005751063278159653
0.9100000000000004,0.8614496472097499,0.005632238978451629
0.9200000000000004,0.8613534316869789,0.005592928144708263
0.9300000000000004,0.8612892880051316,0.0055840934220128735
0.9400000000000004,0.8611930724823604,0.0056300470192409795
0.9500000000000004,0.8611289288005131,0.0056084471233603704
0.9600000000000004,0.8610968569595894,0.005626666075803291
0.9700000000000004,0.8610647851186657,0.0056482873541376126
0.9800000000000004,0.8610647851186657,0.0056482873541376126
0.9900000000000004,0.8610647851186657,0.0056482873541376126
1.0000000000000004,0.8605195638229635,0.00553822284379852
