D_total,E,dims,run_time,overlap_ratio,num_runs,weighting,acc_baseline_mean,acc_ensemble_mean,acc_e0_mean,acc_e1_mean,acc_e2_mean
3000,3,"[1000, 1000, 1000]",0,0.05,1,boosting,0.849903784477229,0.8646568313021168,0.5253367543296985,0.7299550994227069,0.723540731237973
3000,3,"[1000, 1000, 1000]",1,0.05,1,boosting,0.8588838999358563,0.8646568313021168,0.5086593970493907,0.7171263630532393,0.7427838357921744
3000,3,"[1000, 1000, 1000]",2,0.05,1,boosting,0.8486209108402822,0.858242463117383,0.514432328415651,0.718409236690186,0.7280307889672867
3000,3,"[1000, 1000, 1000]",3,0.05,1,boosting,0.8511866581141757,0.8595253367543297,0.5157152020525978,0.7504810776138551,0.7261064785118666
3000,3,"[1000, 1000, 1000]",4,0.05,1,boosting,0.8608082103912764,0.8627325208466966,0.5202052597819115,0.7190506735086594,0.718409236690186
3000,3,"[1000, 1000, 1000]",5,0.05,1,boosting,0.8640153944836434,0.8659397049390635,0.5067350865939705,0.7196921103271328,0.72674791533034
3000,3,"[1000, 1000, 1000]",6,0.05,1,boosting,0.8441308531109686,0.8678640153944837,0.5080179602309173,0.7293136626042335,0.7036561898652983
3000,3,"[1000, 1000, 1000]",7,0.05,1,boosting,0.8550352790250161,0.8620910840282232,0.5067350865939705,0.737010904425914,0.7325208466966003
3000,3,"[1000, 1000, 1000]",8,0.05,1,boosting,0.858242463117383,0.8646568313021168,0.5266196279666453,0.7228992944194996,0.7280307889672867
3000,3,"[1000, 1000, 1000]",9,0.05,1,boosting,0.8441308531109686,0.8492623476587556,0.5060936497754971,0.7196921103271328,0.7087876844130853
