D_total,E,dims,run_time,num_runs,weighting,importance_csv,common_ratio,per_expert_ratio,baseline_k,seeds,mean_confidence_margin_ens,mean_confidence_margin_base,mean_confidence_margin_ens_correct,mean_confidence_margin_ens_wrong,mean_confidence_margin_base_correct,mean_confidence_margin_base_wrong,gap_confidence_margin_ens,gap_confidence_margin_base,mean_disagree_rate,cm_ens,cm_base,corr_err,proj_bits_ens,cent_bits_ens,proj_bits_base,cent_bits_base
6000,3,"[2000, 2000, 2000]",200,5,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431]]",153.71710843389465,151.11476077366814,161.11046264811245,34.501058644727905,159.0476079638388,39.906440304227694,126.60940400338454,119.14116765961111,0.1282886551295102,"[[2460, 4, 16, 0, 0, 0], [97, 2251, 2, 0, 5, 0], [45, 150, 1905, 0, 0, 0], [0, 5, 0, 2178, 248, 24], [0, 0, 0, 205, 2455, 0], [0, 3, 0, 12, 43, 2627]]","[[2440, 4, 36, 0, 0, 0], [65, 2277, 11, 0, 2, 0], [55, 132, 1913, 0, 0, 0], [0, 0, 0, 2011, 426, 18], [0, 0, 0, 227, 2433, 0], [0, 0, 0, 4, 0, 2681]]","[[1.0, 0.3375116025906731, 0.23899563047197853], [0.3375116025906731, 1.0, 0.23676054663856028], [0.23899563047197853, 0.23676054663856028, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,5,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431]]",143.62301493043773,150.46535459789618,150.70240687637516,34.97189020941273,158.71110468009687,39.7509900270333,115.73051666696244,118.96011465306356,0.1401198959393734,"[[2458, 7, 15, 0, 0, 0], [64, 2288, 1, 0, 2, 0], [54, 182, 1864, 0, 0, 0], [0, 7, 0, 2163, 264, 21], [0, 0, 0, 218, 2441, 1], [0, 5, 0, 16, 39, 2625]]","[[2437, 3, 40, 0, 0, 0], [68, 2271, 14, 0, 2, 0], [59, 135, 1906, 0, 0, 0], [0, 0, 0, 1995, 441, 19], [0, 0, 0, 236, 2424, 0], [0, 0, 0, 4, 0, 2681]]","[[1.0, 0.34900279420588676, 0.2671483961282141], [0.34900279420588676, 1.0, 0.1725349284013002], [0.2671483961282141, 0.1725349284013002, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",153.28926823424774,151.823617237869,160.63590007882755,34.343127391740964,159.83578613572152,38.991317596976835,126.29277268708658,120.84446853874468,0.12699920823436264,"[[4918, 10, 32, 0, 0, 0], [167, 4531, 4, 0, 8, 0], [97, 301, 3802, 0, 0, 0], [0, 8, 0, 4317, 533, 52], [0, 0, 0, 410, 4910, 0], [0, 6, 0, 15, 70, 5279]]","[[4890, 6, 64, 0, 0, 0], [126, 4550, 29, 0, 5, 0], [107, 256, 3837, 0, 0, 0], [0, 0, 0, 4002, 867, 41], [0, 0, 0, 448, 4872, 0], [0, 0, 0, 4, 0, 5366]]","[[1.0, 0.34730652805030016, 0.23974368764442117], [0.34730652805030016, 1.0, 0.24481311378563878], [0.23974368764442117, 0.24481311378563878, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",131.08683598223564,149.8591109602986,137.90769115556878,34.788259320787134,158.7056578864742,40.109908764411124,103.11943183478165,118.59574912206307,0.14595633978056782,"[[4905, 28, 27, 0, 0, 0], [71, 4634, 2, 0, 3, 0], [112, 457, 3631, 0, 0, 0], [0, 17, 0, 4252, 593, 48], [0, 0, 0, 455, 4865, 0], [0, 10, 0, 28, 99, 5233]]","[[4881, 8, 71, 0, 0, 0], [145, 4530, 31, 0, 4, 0], [129, 316, 3755, 0, 0, 0], [0, 0, 0, 3931, 923, 56], [0, 0, 0, 494, 4825, 1], [0, 0, 0, 12, 7, 5351]]","[[1.0, 0.33557120480863717, 0.25578472114158013], [0.33557120480863717, 1.0, 0.2163168479274896], [0.25578472114158013, 0.2163168479274896, 1.0]]",1008000,36000,1008000,36000
