D_total,E,num_runs,acc_baseline_mean,acc_baseline_std,acc_ensemble_mean,acc_ensemble_std,acc_e0_mean,acc_e1_mean,acc_e2_mean
6000,3,100,0.8422090261282661,0.007257259360113927,0.8668171021377673,0.008544534994092948,0.8002544960977267,0.8234916864608075,0.8330403800475058
6000,3,1,0.9144893111638955,0.0,0.9151679674244995,0.0,0.8527315914489311,0.8713946386155412,0.8666440447913132
6000,3,10,0.9036986766202919,0.0075446921882768485,0.9263318629114353,0.008665101101054375,0.8667797760434339,0.8634204275534441,0.8607058025110282
6000,3,10,0.9036986766202919,0.0075446921882768485,0.9263318629114353,0.008665101101054375,0.8667797760434339,0.8634204275534441,0.8607058025110282
6000,3,10,0.8995928062436376,0.009241257590867755,0.9204614862572107,0.009026638519475877,0.8614183915846624,0.8530030539531726,0.8447573803868341
6000,3,10,0.8758398371224974,0.03117553998099317,0.9009161859518153,0.020743470262067087,0.8303020020359687,0.8310485239226333,0.835425856803529
6000,3,10,0.8758398371224974,0.03117553998099317,0.8944350186630473,0.020219201997230322,0.8437733288089582,0.8263318629114353,0.8426196131659314
6000,3,1,0.8727519511367492,0.0,0.8876823888700374,0.0,0.8062436375975568,0.8537495758398371,0.824906684764167
6000,3,10,0.8582287071598236,0.031042422833858812,0.8853749575839837,0.007127183297705174,0.8140142517814727,0.8460468272819817,0.8332541567695962
6000,3,10,0.8582287071598236,0.031042422833858812,0.8911774686121481,0.014628191294014692,0.811163895486936,0.8355276552426197,0.8184594502884289
6000,3,10,0.8603664743807263,0.029378154733301957,0.889514760773668,0.011644641925279805,0.8110620970478453,0.832711231761113,0.8158126908720733
6000,3,10,0.8995928062436376,0.009241257590867755,0.9204614862572107,0.009026638519475877,0.8614183915846624,0.8530030539531726,0.8447573803868341
6000,3,10,0.8758398371224974,0.03117553998099317,0.9011537156430268,0.00966942285802895,0.8234475738038682,0.8312860536138447,0.8212080081438751
6000,3,10,0.8997624703087886,0.016167979499354775,0.9078045469969462,0.01589856403210954,0.8469630132337971,0.845062775704106,0.8437054631828979
6000,3,5,0.8983372921615201,0.008842346779722999,0.9163216830675264,0.008521393506944046,0.8614862572107228,0.8501526976586359,0.8498812351543943
6000,3,10,0.8997624703087886,0.016167979499354775,0.9078045469969462,0.01589856403210954,0.8469630132337971,0.845062775704106,0.8437054631828979
6000,3,10,0.8995928062436376,0.009241257590867755,0.9204614862572107,0.009026638519475877,0.8614183915846624,0.8530030539531726,0.8447573803868341
6000,3,10,0.9122836783169326,0.005551412360004863,0.9256871394638615,0.007947815297037223,0.8781133355955208,0.8733288089582627,0.8647777400746521
