D_total,E,dims,run_time,num_runs,weighting,importance_csv,common_ratio,per_expert_ratio,baseline_k,seeds,mean_confidence_margin_ens,mean_confidence_margin_base,mean_confidence_margin_ens_correct,mean_confidence_margin_ens_wrong,mean_confidence_margin_base_correct,mean_confidence_margin_base_wrong,gap_confidence_margin_ens,gap_confidence_margin_base,mean_disagree_rate,cm_ens,cm_base,corr_err,proj_bits_ens,cent_bits_ens,proj_bits_base,cent_bits_base
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",156.49539727404192,245.2608415337632,168.45472647047214,42.895570515098946,265.5241813155493,83.14541386531982,125.5591559553732,182.37876745022947,0.2147042189797534,"[[4929, 1, 30, 0, 0, 0], [201, 4480, 23, 0, 6, 0], [277, 379, 3544, 0, 0, 0], [0, 23, 0, 3794, 991, 102], [0, 0, 0, 647, 4673, 0], [0, 10, 0, 34, 110, 5216]]","[[4904, 3, 53, 0, 0, 0], [248, 4423, 30, 0, 9, 0], [259, 372, 3569, 0, 0, 0], [0, 18, 0, 3418, 1418, 56], [0, 0, 0, 725, 4595, 0], [0, 5, 0, 25, 52, 5288]]","[[1.0, 0.3679623499162416, 0.23616647322813505], [0.36796234991624155, 1.0, 0.09657145862706204], [0.236166473228135, 0.09657145862706204, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,1,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340]]",167.78155668768028,241.72005429250086,179.3855771908652,44.751528281865156,260.18605532398635,83.5,134.63404890900006,176.68605532398635,0.21377672209026125,"[[491, 0, 5, 0, 0, 0], [30, 440, 0, 0, 1, 0], [24, 30, 366, 0, 0, 0], [0, 3, 0, 425, 54, 9], [0, 0, 0, 82, 450, 0], [0, 1, 0, 9, 6, 521]]","[[492, 0, 4, 0, 0, 0], [21, 449, 1, 0, 0, 0], [24, 31, 365, 0, 0, 0], [0, 2, 0, 356, 127, 6], [0, 0, 0, 82, 450, 0], [0, 1, 0, 4, 5, 527]]","[[1.0, 0.40871860584650116, 0.17267070396335887], [0.40871860584650116, 0.9999999999999998, 0.041663099991673294], [0.17267070396335887, 0.041663099991673294, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,5,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431]]",168.07624530772821,244.81058703766539,183.5963202278311,48.4876568121012,267.41882061668804,92.65071899345912,135.1086634157299,174.76810162322892,0.2118538626852166,"[[2465, 0, 15, 0, 0, 0], [132, 2217, 3, 0, 3, 0], [114, 156, 1830, 0, 0, 0], [0, 11, 0, 1972, 430, 42], [1, 0, 0, 673, 1926, 60], [0, 5, 0, 22, 43, 2615]]","[[2455, 2, 23, 0, 0, 0], [115, 2226, 10, 0, 4, 0], [117, 174, 1809, 0, 0, 0], [0, 12, 0, 1801, 617, 25], [1, 0, 0, 718, 1879, 62], [0, 3, 0, 10, 17, 2655]]","[[1.0, 0.38172893848744577, 0.223250710752595], [0.3817289384874458, 1.0, 0.045859538186615395], [0.22325071075259503, 0.04585953818661539, 1.0]]",1008000,36000,1008000,36000
