D_total,E,dims,run_time,num_runs,weighting,importance_csv,common_ratio,per_expert_ratio,baseline_k,seeds,mean_confidence_margin_ens,mean_confidence_margin_base,mean_confidence_margin_ens_correct,mean_confidence_margin_ens_wrong,mean_confidence_margin_base_correct,mean_confidence_margin_base_wrong,gap_confidence_margin_ens,gap_confidence_margin_base,mean_disagree_rate,cm_ens,cm_base,corr_err,proj_bits_ens,cent_bits_ens,proj_bits_base,cent_bits_base
6000,3,"[2000, 2000, 2000]",0,1,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[6311, 6890, 663, 4242]]",42.739277860695196,62.0855106888361,45.937810290715426,12.979505845716783,68.53789636504254,15.86426592797784,32.958304444998646,52.6736304370647,0.18131433095803642,"[[493, 1, 2, 0, 0, 0], [38, 432, 1, 0, 0, 0], [32, 34, 354, 0, 0, 0], [0, 2, 0, 398, 90, 1], [2, 0, 0, 66, 464, 0], [0, 1, 0, 2, 14, 520]]","[[484, 0, 12, 0, 0, 0], [68, 391, 12, 0, 0, 0], [29, 40, 351, 0, 0, 0], [0, 1, 0, 381, 104, 5], [0, 0, 0, 67, 464, 1], [0, 0, 0, 6, 16, 515]]","[[0.9999999999999999, 0.3610426592453317, 0.2797540026745294], [0.3610426592453317, 1.0, 0.25656618138888326], [0.2797540026745294, 0.25656618138888326, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",0,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[6311, 6890, 663, 4242], [2201, 9325, 1033, 4179], [926, 1500, 1390, 5915], [3898, 9709, 8916, 2136], [3867, 4969, 1690, 6489], [4185, 5874, 8684, 475], [9401, 1320, 7946, 4286], [5305, 2471, 6468, 791], [3714, 6068, 6150, 2069], [7585, 6116, 4376, 2269]]",62.524431484547314,84.25252799457076,67.04203957283582,14.723401244691866,91.9342353733196,16.761705843829628,52.318638328143955,75.17252952948996,0.2036986766202918,"[[4886, 13, 61, 0, 0, 0], [296, 4357, 57, 0, 0, 0], [159, 310, 3731, 0, 0, 0], [0, 7, 0, 3902, 960, 41], [1, 0, 0, 493, 4825, 1], [0, 8, 0, 61, 86, 5215]]","[[4806, 19, 135, 0, 0, 0], [295, 4317, 96, 0, 2, 0], [193, 380, 3627, 0, 0, 0], [0, 0, 0, 3865, 1011, 34], [0, 0, 0, 657, 4663, 0], [0, 0, 0, 85, 88, 5197]]","[[1.0, 0.26142156933240146, 0.24022354657213119], [0.26142156933240146, 1.0, 0.18859792581023269], [0.24022354657213119, 0.18859792581023274, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",0,1,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[6311, 6890, 663, 4242]]",64.27673816195495,95.91177468612148,69.10562459991853,14.789867604961833,104.18645990922845,23.706270627062707,54.31575699495669,80.48018928216574,0.22169437846397466,"[[488, 0, 8, 0, 0, 0], [38, 422, 11, 0, 0, 0], [16, 38, 366, 0, 0, 0], [0, 2, 0, 405, 82, 2], [0, 0, 0, 49, 483, 0], [0, 1, 0, 1, 14, 521]]","[[480, 2, 14, 0, 0, 0], [40, 425, 6, 0, 0, 0], [29, 38, 353, 0, 0, 0], [0, 0, 0, 379, 104, 8], [0, 0, 0, 42, 489, 1], [0, 0, 0, 7, 12, 518]]","[[1.0, 0.3689592096460832, 0.04625966927766582], [0.3689592096460832, 1.0, 0.16942097695356273], [0.04625966927766581, 0.16942097695356273, 0.9999999999999999]]",1008000,36000,1008000,36000
