Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,54.335,52.542,55.744,0.708
2000,54.484,52.354,56.309,0.709
4000,54.531,53.107,55.744,0.530
6000,54.618,53.484,55.367,0.392
8000,54.584,53.107,55.932,0.502
10000,54.614,53.484,55.744,0.453
