Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,74.721,73.070,77.024,0.656
2000,74.476,72.881,75.895,0.496
4000,74.520,73.635,75.706,0.443
6000,74.508,73.635,75.706,0.414
8000,74.456,73.635,75.141,0.341
10000,74.437,73.635,75.141,0.311
