Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,53.160,48.964,56.497,1.695
2000,53.623,48.588,57.439,1.510
4000,53.855,51.036,58.380,1.147
6000,53.766,51.036,55.744,0.973
8000,53.693,51.789,55.744,0.816
10000,53.710,51.601,55.744,0.811
