Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,75.384,70.998,78.908,1.604
2000,75.064,72.316,78.154,1.286
4000,75.296,72.505,78.154,0.970
6000,75.507,73.446,77.213,0.805
8000,75.394,73.635,77.401,0.819
10000,75.533,74.200,77.401,0.668
