Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,70.119,64.286,74.107,3.160
2000,69.792,64.583,75.000,3.391
4000,69.226,67.262,73.810,1.873
6000,69.137,66.667,72.321,1.678
8000,69.315,67.560,71.726,1.227
10000,68.780,67.857,70.833,0.914
