Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,83.675,82.626,85.443,0.996
2000,85.053,84.153,86.563,0.688
4000,86.071,85.680,86.664,0.277
6000,85.945,85.443,86.359,0.247
8000,86.312,85.918,86.664,0.271
10000,86.223,86.020,86.427,0.125
