Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,79.324,78.160,79.800,0.559
2000,80.547,80.040,81.190,0.413
4000,81.116,80.830,81.330,0.171
6000,81.223,80.800,81.690,0.257
8000,81.524,81.130,81.760,0.186
10000,81.609,81.350,81.740,0.107
