Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,76.969,75.490,78.660,0.892
2000,79.197,78.390,79.980,0.526
4000,80.577,80.130,81.020,0.341
6000,80.898,80.460,81.660,0.386
8000,81.106,80.700,81.370,0.242
10000,81.235,80.710,81.620,0.248
