Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,85.805,84.477,87.043,0.869
2000,86.972,85.888,88.005,0.646
4000,86.908,85.696,87.428,0.469
6000,86.793,86.594,87.043,0.185
8000,87.056,86.594,87.492,0.328
10000,87.178,86.786,87.556,0.250
