Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,81.770,79.282,84.092,1.587
2000,84.727,83.194,85.824,0.936
4000,85.831,84.221,87.171,0.926
6000,86.305,85.439,87.235,0.617
8000,86.722,85.632,87.556,0.669
10000,86.793,85.888,87.684,0.579
