Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Seeds
73,0.8102,0.8103,0.8124,"[57941, 70648, 83537, 23504, 13996, 47433]"
74,0.8113,0.8111,0.8115,"[43885, 53467, 62937, 37559, 49316, 73395]"
75,0.8045,0.8107,0.8049,"[96174, 66459, 37579, 31044, 22476, 15569]"
76,0.8073,0.8018,0.802,"[25890, 18019, 49381, 52802, 70630, 26761]"
77,0.8086,0.8069,0.813,"[80729, 10830, 87795, 87220, 9013, 83359]"
78,0.8082,0.8032,0.8083,"[43580, 69172, 31342, 91741, 9988, 99448]"
79,0.8079,0.8103,0.8087,"[87492, 62308, 31207, 7133, 24405, 29787]"
80,0.8051,0.8053,0.8015,"[47303, 35489, 44530, 8370, 13734, 53136]"
81,0.8028,0.7983,0.8011,"[37113, 25619, 9070, 59826, 72208, 23920]"
82,0.8078,0.8051,0.8077,"[71955, 43966, 85381, 6980, 65726, 55599]"
83,0.8087,0.8087,0.811,"[89858, 25331, 61278, 26544, 88949, 68196]"
84,0.8041,0.8086,0.8102,"[62427, 70748, 86123, 35174, 29303, 80053]"
85,0.8137,0.8116,0.8106,"[36023, 1757, 52364, 20576, 96339, 87513]"
86,0.8091,0.8117,0.8062,"[18904, 64004, 2927, 59557, 57896, 29560]"
87,0.8147,0.8084,0.804,"[45248, 42960, 6583, 649, 14273, 79672]"
88,0.8059,0.8175,0.812,"[81601, 6589, 8539, 13558, 41091, 46334]"
89,0.8087,0.809,0.8037,"[33290, 70303, 48231, 29180, 44925, 66594]"
90,0.8049,0.8018,0.8021,"[4908, 46986, 62200, 56519, 93602, 38672]"
91,0.8026,0.7992,0.8071,"[56254, 15943, 83004, 11490, 86672, 42199]"
92,0.8024,0.8107,0.8084,"[17675, 83326, 94066, 12455, 39369, 99344]"
93,0.8086,0.8087,0.8027,"[55504, 70514, 85806, 79931, 51747, 852]"
94,0.8158,0.8165,0.8102,"[93737, 75223, 22517, 50616, 42829, 11656]"
95,0.8028,0.8013,0.8001,"[82030, 24954, 61383, 23180, 30059, 23169]"
96,0.8098,0.801,0.8042,"[83692, 39458, 20047, 88335, 15719, 79635]"
97,0.8143,0.8053,0.8042,"[27413, 75678, 72927, 3039, 48820, 50996]"
98,0.8046,0.8096,0.8125,"[89341, 75551, 64451, 2645, 90940, 44922]"
99,0.8051,0.8137,0.8093,"[41162, 25100, 20758, 86348, 39183, 79925]"
100,0.8058,0.8051,0.8048,"[14490, 80508, 69052, 46610, 26738, 35343]"

Average,0.807109,0.807359,0.8071160000000001
StdDev,0.004104496056617411,0.0037676747109155694,0.003881469054391912
