Dimension,Average Accuracy (%),Min Accuracy (%),Max Accuracy (%),Std Dev (%)
1000,81.285,80.520,82.310,0.337
2000,81.514,80.840,82.060,0.256
4000,81.607,81.220,82.070,0.171
6000,81.678,81.190,82.110,0.171
8000,81.706,81.330,81.960,0.133
10000,81.717,81.390,82.090,0.132
